UOO035.056 AV_HG01106#haplotype1#0000048:16666181_17262214$HG002.verkko_filt_pat.fa:haplotype2_0000649_147937390_148315979_1	0.1868768215526639 PosthKrauseHG
UOO035.056 HG01978#1#JAGYVS010000002.1_51519970_52021951_0$HG002.verkko_filt_pat.fa:haplotype2_0000649_147937390_148315979_1	0.1865397806921879 PosthKrauseHG
UOO035.056 chr1_chm13_103304997_103901127_0$HG002.verkko_filt_pat.fa:haplotype2_0000649_147937390_148315979_1	0.1864047524722276 PosthKrauseHG
UOO035.056 HG02080#2#JAHEOV010000017.1_16662177_17164189_0$HG002.verkko_filt_pat.fa:haplotype2_0000649_147937390_148315979_1	0.1864006678903688 PosthKrauseHG
UOO035.056 HG02293.verkko_filt_pat.fa:haplotype2_0000836_148310532_148812524_1$HG002.verkko_filt_pat.fa:haplotype2_0000649_147937390_148315979_1	0.1859684637078388 PosthKrauseHG
UOO035.056 AV_HG00673#haplotype1#0000019:16627360_17129375$HG002.verkko_filt_pat.fa:haplotype2_0000649_147937390_148315979_1	0.1858955231755617 PosthKrauseHG
UOO035.056 HG00621#1#JAHBCD010000034.1_2122997_2624098_1$HG002.verkko_filt_pat.fa:haplotype2_0000649_147937390_148315979_1	0.1858914405911624 PosthKrauseHG
UOO035.056 HG04228.verkko_filt_mat.fa:haplotype1_0000023_103429213_103930285_0$HG002.verkko_filt_pat.fa:haplotype2_0000649_147937390_148315979_1	0.1858677108722705 PosthKrauseHG
UOO035.056 HG002.verkko_filt_pat.fa:haplotype2_0000649_147937390_148315979_1$HG01099.verkko_filt_pat.fa:haplotype2_0000583_143544270_144046196_1	0.1856993298831405 PosthKrauseHG
UOO035.056 HG03540#1#JAGYVY010000208.1_95187_596142_0$HG002.verkko_filt_pat.fa:haplotype2_0000649_147937390_148315979_1	0.1856018505521022 PosthKrauseHG
UOO035.056 AV_HG01106#haplotype2#0000932:16673968_17175925$HG002.verkko_filt_pat.fa:haplotype2_0000649_147937390_148315979_1	0.1855859668919757 PosthKrauseHG
UOO035.056 HG02071.verkko_filt_pat.fa:haplotype2_0000736_102745972_103248026_0$HG002.verkko_filt_pat.fa:haplotype2_0000649_147937390_148315979_1	0.1853821434073697 PosthKrauseHG
UOO035.056 HG01258#1#JAGYYV010000004.1_56955948_57456952_1$HG002.verkko_filt_pat.fa:haplotype2_0000649_147937390_148315979_1	0.1853742679151233 PosthKrauseHG
UOO035.056 HG002.verkko_filt_pat.fa:haplotype2_0000649_147937390_148315979_1$HG03927.verkko_filt_pat.fa:haplotype2_0000800_29002142_29504057_1	0.1852937506209876 PosthKrauseHG
UOO035.056 HG02486#1#JAGYVM010000007.1_28868414_29370339_1$HG002.verkko_filt_pat.fa:haplotype2_0000649_147937390_148315979_1	0.1851599977827701 PosthKrauseHG
UOO035.056 HG01071#1#JAHBCF010000053.1_26607100_27108065_1$HG002.verkko_filt_pat.fa:haplotype2_0000649_147937390_148315979_1	0.1850379124528143 PosthKrauseHG
UOO035.056 HG02004.verkko_filt_pat.fa:haplotype2_0000813_139386576_140076845_1$HG002.verkko_filt_pat.fa:haplotype2_0000649_147937390_148315979_1	0.1850219222907463 PosthKrauseHG
UOO035.056 AV_HG01106#haplotype1#0000048:16666181_17262214$HG03492#2#JAHEPH010000288.1_2098270_2432686_1	0.1843594589525812 PosthKrauseHG
UOO035.056 AV_HG01106#haplotype1#0000048:16666181_17262214$NA19240#2#JAHEOL010000010.1_37445323_37853017_0	0.1843123690744318 PosthKrauseHG
UOO035.056 AV_HG01106#haplotype1#0000048:16666181_17262214$HG01243#1#JAHEOY010000013.1_90081_424495_0	0.1842683660139347 PosthKrauseHG
UOO035.056 AV_HG01106#haplotype1#0000048:16666181_17262214$HG02717#2#JAHAOR010000006.1_19663827_20070693_1	0.1841894829022629 PosthKrauseHG
UOO035.056 AV_HG01106#haplotype1#0000048:16666181_17262214$HG02486#2#JAGYVL010000029.1_94163344_94570162_0	0.1841539467106772 PosthKrauseHG
UOO035.056 AV_HG01106#haplotype1#0000048:16666181_17262214$chr1_hg38_103456064_103863972_0	0.1841131545175907 PosthKrauseHG
UOO035.056 AV_HG01106#haplotype1#0000048:16666181_17262214$chr1_hg19_103998686_104406594_0	0.1841131545175907 PosthKrauseHG
UOO035.056 AV_HG01106#haplotype1#0000048:16666181_17262214$HG02886#1#JAHAOU010000178.1_62411_469262_0	0.1840909253318305 PosthKrauseHG
UOO035.056 AV_HG01106#haplotype1#0000048:16666181_17262214$HG03927.verkko_filt_mat.fa:haplotype1_0000009_134765170_135173010_1	0.1840896456367456 PosthKrauseHG
